name,address1,address2,address3,city,pincode,tel1,tel2,mobile
Doshisons,"Ishwar Nivas, Shop #24,","5th Khetwadi Lane, S.V.P. Road,",Girgaon,Mumbai,400004,28547343,38555525,
Dot Pharma,"#20, Shop #D-15,","Kalpak Estate, S.M. Durgah Road, Antop Hill,",Antop Hill,Mumbai,400037,24093033,,9821575072
Dp Medical Diagnostics,"Ashish Indust, Shop #1025,","Gokhale Road,  ",Prabhadevi,Mumbai,400025,24316233,,
Dr. Reshma D. Thakkar,"Pathai Bapa Building, Shop #1,","N.S. Road, Near Union Bank,",Mulund West,Mumbai,400080,25604563,,
Dr. Shammi Medical Research Centre & Hospital,"Farooque Lane, Vasinaka,",R.C.F. Chembur,,Mumbai,400074,56269879,,9869649786
Drug Corner,"Shop #2, Ground Floor, S.V. Road,","Gulmohar Apartment,",Andheri East,Mumbai,400059,29206169,,
Durga Maternity & Surgical Nursing Home,"C.S.T. Road, Kalina, Santacruz (E),","Near Sundar Nagar,",Vidyanagari,Mumbai,400098,26670898,,9323260876
Durga Medical and General Stores,"New #565, J.S.S. Road, ","Chira Bazar, Opposite Chandanwadi,",Kalbadevi,Mumbai,400002,22058822,,
Durga Medical Foundation,"Seawoods Estate,","Seawoods Estate,",Nerul,Mumbai,400706,27573000,,
Durga Medical Foundation,"Mgms Hospital,","Sector 6 Road,",Kokan Bhavan,Mumbai,400614,27575218,,
Durga Medical Foundation,"New Bombay Hospital,","Sector 3 Road,",Vashi,Mumbai,400703,27821169,,
Durga Medico General And Medical Stores,"St. Pius Shopping Centre,","M.M.M. Nahur Road,",Mulund West,Mumbai,400080,25601204,25653536,
Dy Secretary Medical,"Mantralaya,","M Cama Road,",Mantralaya,Mumbai,400032,22828715,,
Eagle Medical Stores,"New #4, Main Bazaar,","Near Lokhandwala Complex,",Azad Nagar,Mumbai,400053,26364424,,
Eastern Medical Services And Equipment,"Kalpak Crest,","Carter Road,",Bandra West,Mumbai,400050,26487265,,
Eastern Stores,"New #38, New #38,","Opposite Friendship Sarees,",Santa Cruz West,Mumbai,400054,26490745,,
Ekadant Medical Corporation,"Bhakti Complex,","Bhakti Complex Road,",Dahisar,Mumbai,400068,28956924,,
Ekta Chemist,"New #10, Lalan Building,","Devidayal Road, Near Johnson & Johnson,",Mulund West,Mumbai,400080,25904124,,
Elegant Enterprise,"#121/127, Mandvi Navjivan Building,","Shop #211, 2nd Floor, Kazi Sayed Street,",Mandvi,Mumbai,400003,23434568,23434569,
Elite Medical & General Stores,"#13, Ganga Bhavan, Linking Road,","Opposite Arya Samaj,",Santa Cruz West,Mumbai,400054,26492153,32416613,
Elite Medicals,"#122, Kansara Chawl,","Kalbadevi Road,",Kalbadevi,Mumbai,400002,22428217,,
Emergency Medical Services,"Rosario Appartment,","C Colony Road,",Mandapeshwar,Mumbai,400103,28910462,,
Emkay Pharma Private Limited,"#962, Manoj Co-operative Housing Society Limited,","Shop #11, Shanker Ghanekar Marg, Near Siddhivinayak Temple,",Prabhadevi,Mumbai,400025,24360779,,
Empire Pharmacy,"Dham Building, Bhavani Shankar Road,","Opposite Shivaji Park Post Office,",Dadar (West),Mumbai,400028,24307796,,
Esswell Medical & General Stores,"Virdi Villa, Shop #2,","Tirandaz Village Road, Near South Indian Bank, Opp. IIT Main Gate,",I.I.T. Powai,Mumbai,400076,25774732,25791078,9819162881
Eutherva Aarti Formulations,"#18 A, Krishna Nivas,","Road No. 1, Scheme No. 6, Opposite HSC Board Office,",Sion,Mumbai,400022,24086433,,
F I A M C Bio-Medical,"St Pius Collage Compound,","Aarey Road,",Goregaon East,Mumbai,400063,28788243,,
Faaizah Medical & General Stores,"S.V. Road,",Jogeshwari West,,Mumbai,400102,26799052,,
Fair Chemist,"Rampati Sharma Chawl,","Jawahar Nagar, Khar East, Near Shardha Hotel,",Bandra East,Mumbai,400051,26477726,,
Faiza Medical General Stores,"Shop #19, Ahmed Zakaria Nagar,","Near Mina Centre,",Bandra East,Mumbai,400051,26473070,,9867399355
Family Bazaar,"Excel Residency, Shop #3 & 4,","Balwant Singh Dhody Marg, Opposite Jasmine Apartments,",Mazgaon,Mumbai,400010,56570516,56570517,
Family Chemist,"Jaikar Wadi, S.M.D. Road, Wadala,",Antop Hill,,Mumbai,400037,24159994,32461545,9869661802
Family Medical & General Store,"#10/T/5,","Baiganwadi,",Govandi,Mumbai,400046,69533161,,
Family Medical Centre,"Eraskine Road,",Mandvi,,Mumbai,400003,23468069,,
Famous Medical & General Store,"#67/A, Suryaji Compound, Shop #1,","Tank Pakhadi Road, Byculla,",Jacob Circle,Mumbai,400011,69562199,,
Famous Medical And General Stores,"Nivant, Shop #1,","Bajaj Road,",Vile Parle West,Mumbai,400056,26716691,,9820203459
Famous Pharmacy,"Kapool Niwas,","S.V. Patel Road, Behind Naaz Cinema,",Khetwadi,Mumbai,400004,23821579,,
Fancy Chemists,"Shop #1, 83,","Hasmukh Bhuvan, A,D,Marg, Parel,",Parel,Mumbai,400012,24140552,,9323343525
Farooqui Medical& General Store,"Jaihind Chambers,","Khar Danda Road,",Khar,Mumbai,400052,26480137,,
Fiamcbio Medical Ethics Centre,"Pivsz College,","Aarey Road,",Goregaon East,Mumbai,400063,28747310,,
Fine-N-Fair Medical Stores,"Mewad Building,","L B Shastri Marg,",Ghatkopar West,Mumbai,400086,25001247,,
Fition Medical Stores,"New #1, Basant Bahar Building,","Juhu Tara Road, Opposite Sea Princess Hotel,",Juhu,Mumbai,400049,26606435,,
Flora Medical and General Stores,"Khatau Mill Compound,","Siddarath Nagar, Near Sanjeevan Hospital,",Borivali East,Mumbai,400066,28871211,,
Forest Essentials,"Tirupati Apartments, ","Shop #12, Bhulabhai Desai Road,",Mahim West,Mumbai,400006,30908114,23511456,
Forest Essentials,"Atria Mall, Ground Floor,","Dr. Annie Besant Road, Opposite Poonam Chamber,",Worli,Mumbai,400018,24813539,,
Forest Essentials,"#F-19, Inorbit Mall,","1st Floor,  ",Malad West,Mumbai,400064,65215209,,
Fort Homoeopathic Pharmacy,"Ararat Building, Ground Floor,","Nagindas Master Road, Meadows Street, Fountain, Near Lentin Chambers,",Mumbai G.P.O.,Mumbai,400001,22651460,,
Forward Chemist Medical & General Store,"Hilla Towers,","S S Rao Road,",Parel,Mumbai,400012,24716821,,
Free India Drug House,"Jacob Circle,",Near Anand Niketan Hospital,,Mumbai,400011,23072424,,
Fresenius Mafatlal Medicals,"Wagh Appartment,","J Phule Marg,",Vile Parle East,Mumbai,400057,26135406,,
Friends Medical And General Stores,"Anand Bhavan, Shop #3,","Station Road,",Goregaon West,Mumbai,400062,28756603,,
Friends Medical Corner,"Golden Heaven, Shop #6,","Kolbad Road,",Naupada,Mumbai,400602,25472240,,
Friends Medical Stores,"Sarita Apartments,","Uthalsar, Old L.B.S. Marg, Near Thane Janata Sahakari Bank,",Thane H.O.,Mumbai,400601,25473145,,
G S B Sabha'S Medical Trust,"Rajgir Court,","Kohinoor Road,",Dadar East,Mumbai,400014,24104149,,
G.T. Medical Stores,"#3A, Ganesh Baugh,","J.N. Road, Mulund (West), Near Mehal Talkies,",Mulund West,Mumbai,400080,65779902,,
Gajanan Chemists,"#72, Jawahar Nagar,","Road No. 8, Beside Sai Krupa Hotel,",Goregaon West,Mumbai,400062,28725388,,
Gajanan Medical and General Store,"New #3, Swami Samarth Complex,","Sector-9,",Airoli,Mumbai,400708,27696621,,
Gajengi Bros Medical Stores,"Shop #1, Patra Chawl, Amrutwar Marg,","Opposite B.D.D. Chawl No. 111,",Delisle Road,Mumbai,400013,24929157,,9892614710
Gala Chemist,"Radha Krishna Chawl, Shankar Mandir,","Shop #2, Prabhat Colony Road,",Santa Cruz East,Mumbai,400055,69936434,,
Gala Medical & General Stores,"Kanji Hirji Patel Building,","Agra Road,",Rajawadi,Mumbai,400077,25152250,,
Gala Medical & General Stores,"#904, Shop #5, 6,","Kumbhar Chawl, Katrak Road, Wadala,",Wadala,Mumbai,400031,24140510,55767762,
Galtron Electromedical Industries,"Nahar & Sheth,","Chakala Road,",Sahar,Mumbai,400099,28345018,,
Ganapathi Medical Store,"Shop #86-2/2, Baghath Nagar No.1,","Opposite Ling Road Bus Stop,",Motilal Nagar,Mumbai,400104,28778556,,
Gandhi & Company,"#195,","S.V.P. Road,  ",Girgaon,Mumbai,400004,23823656,,
Gandhi Medical Stores,"New #2, Happy Home Apartment,","Saibaba Nagar, Opposite Sweekar Hotel,",Borivali West,Mumbai,400092,28089022,28090667,
Ganesh Drug House,"#35/36, Kalpana Darshan Co-operative Housing Society,","Shop #2, Tilak Nagar, Road No. 3, M.G. Road,",Goregaon West,Mumbai,400062,28734308,,
Ganesh Medical,"#18, Arihant Building,","Sant Ramdas Road, Mulund (East), Near Santi Ramdas,",Mulund East,Mumbai,400081,25657208,,
Ganesh Medical & General Store,"Sheetal Chaya, Shop #4,","Khopat Road, Near Paratp Cinema,",Thane H.O.,Mumbai,400601,25473659,,
Ganesh Medical and General Store,"Mhatre Plot,","Rani Sati Marg,",Malad East,Mumbai,400097,28811896,,
Ganesh Medical and General Stores,"#7, Twins Corner,","Sector 17, Navi Mumbai,",Nerul,Mumbai,400706,27703479,27714669,
Ganesh Medical and General Stores,"New #403,","Babaji Jamsandekar Road, Near Lower Parel Naka,",Delisle Road,Mumbai,400013,24924564,,
Ganesh Medical Stores,"Ghanshyam Dubey Chawl,","Swami Vivekanand Road,",Dahisar,Mumbai,400068,28913952,,
Ganesh Medico,"Gamdevi Road, Groundant Road,","Opposite Geeta Building,",Grant Road,Mumbai,400007,23888394,,
Gateway Chemists Limited,"Doctor House, Deshmukh Marg,","Near Kalidas Hall,",Cumbala Hill,Mumbai,400026,23524474,23538337,
Gaud S P Prop Sai Medical& General Store & General Stores,"Abbas Chawl,","V N Purav Marg,",Sion,Mumbai,400022,24054050,,
Gauri Medicals and General Stores,"Shop #8, Apra Road,","Sector-3, Belapur CBD, Near F-Type Market,",Kokan Bhavan,Mumbai,400614,27560412,,
Gautam Medical and General Stores,"New #12, Shiv Shradha Complex,","B.P. Road, Near Bhyander Station,",Bhayander East,Mumbai,401105,28047466,,
Gautam Medical And General Stores,"Halav Pool Road,",Halav Pool Road,,Mumbai,400070,25032465,,
Gawde Medical & General Stores,"Hershal Building, Shop #3,","Carter Road No. 5,",Borivali East,Mumbai,400066,28615481,,
Gayatri Chemists,"New #2, Canvera Apartment,","J.P. Road, Near 7 Bungalows,",Versova,Mumbai,400061,26360401,,
Gayatri Medical Stores,"Gaytri Medical,",Colaba,,Mumbai,400005,22083159,,
Gaza Trading Company Private Limited,"Green View Apartment, Shop #F-1/6,","Sector - 15, Nerul (E), Navi,",Nerul,Mumbai,400706,27701546,,9819664859
Gazal Medical And General Stores,"#12, Gazal Apartment,","Belgrami Road,",Kurla West,Mumbai,400070,69929724,,
Geeta Medical & General Store,"Akurli Road,",Kandivali East,,Mumbai,400101,28871124,28852369,
Geeta Stores,"Shop #27,","Opposite Atomica,",Worli,Mumbai,400018,24951470,24911726,
Geetanjali Medical Store,"Shopping Complex, Shop #1,","Sector-4, Belapur CBD, Near Rajiv Gandhi Medical College,",Kokan Bhavan,Mumbai,400614,27574589,,
Gemini Medico Medical General Stores,"Oscar Tower,","Maratha Mandir Marg,",Mumbai Central,Mumbai,400008,23020775,,
Genesis Pharma,"Sharmin Shanti Park,","Shanti Path,",Ghatkopar East,Mumbai,400077,25065570,,
Get Well Chemists,"#269A, Get Well Chemists, Ground Floor,","Linking Road, Near Amarson Showroom,",Bandra West,Mumbai,400050,32966485,,9322667498
Getwell Medicals,"#77, Kapal Niwas, Shop #5,","R.R. Roy Marg, New Charni Road, Near S.V.P. Road & Ketwadi,",Girgaon,Mumbai,400004,23821963,23812632,
Getwell Medico,"#102, Taraporewala Building,","Shop #4, August Kranti Marg,",A.K. Marg,Mumbai,400036,23810400,56644268,
Ghatkopar Medical Stores,"Ghatkopar West,",Opp. Railway Station,,Mumbai,400086,25152764,,
Girgaum Chemist,"Ambewadi Building,","J. Shankar Sheth Road, Opposite Magaestic Shopping Centre,",Girgaon,Mumbai,400004,23840268,23867483,
Girish Medical Store,"Kannamwar No. 1, Vikhroli East,","Near Maharashtraut Palace,",Tagore Nagar,Mumbai,400083,25785110,,
Glorious Pharmacy,"New #2,","Near Lido Cinema,",Santa Cruz East,Mumbai,400055,26117487,,
Glory Medical & General Stores,"#161, Shop #8/9,","Samta Nagar,",Kandivali East,Mumbai,400101,28871155,,9821355845
Goenka & Associates Medical,"GKD High School,",Goregaon East,,Mumbai,400063,28410408,28422738,
Goenka & Associates Medical & Research,"Gen A.K. Vaidya Marg,","Behind Gokuldham School,",Goregaon East,Mumbai,400063,28409213,,
Gokul Chemist,"Gokuldham Shopping Centre,","Goregaon Mulund Link Road, Goregaon Mulund Link Road,",Goregaon East,Mumbai,400063,28400172,,
Gold Coin Medical and General Stores,"New #15/B, Sunshine Building,","Apna Ghar, Near Apna Bazaar,",Azad Nagar,Mumbai,400053,26369859,,
Golden Chemist,"New #2126, Mohammad Mansion, Shop #6,","Gokhale Road, Near Portuguese Church,",Bhavani Shankar Road,Mumbai,400028,24223434,,
Golden Chemist,"Bharat Kunj Compound, Ground Floor,","Phirozeshah Mehta Road, Opposite Hi-Life Shopping Mall,",Santa Cruz West,Mumbai,400054,32429921,,9833696408
Good Care,"So Lucky Corner,","Near Sai Abol Temple,",Chakala,Mumbai,400093,28205342,,
Good Health,"New #1, Ashina Apartments,","13th Road, Near UTI Bank,",Juhu,Mumbai,400049,26714627,,
Good Luck Medical And General Stores,"Lakdawala Chawl,","Shop #4, Station Road,",Bhandup West,Mumbai,400078,25947653,25949593,
Goodhealth-A-Medicine Shop,"Cheetna Chambers,","Off J. P. Road,",Versova,Mumbai,400061,26300555,,
Goodman Chemist,"Dr. S.S. Rao Road,","Behind K.E.M. Hospital,",Parel,Mumbai,400012,24121139,,
Gopal Krishna,"#22, Laxmi Chhaya,","Babhai Naka, L T Road,",Borivali West,Mumbai,400092,28959202,,
Govind & Company,"#293-B,","G.K.Marg,",Delisle Road,Mumbai,400013,24926419,,
Govind Medical and General Stores,"New #19/A, Dedhia Niwas,","R.A. Kidwai Road, Near SNDT College,",Wadala,Mumbai,400031,24111655,,
Grahak Sahakari Bhandar and Mar Medical Store,"#16,","Kannawar Nagar, Near Godrej Factory,",Vikhroli,Mumbai,400079,25771818,25789928,
Grahak Sahakari Bhandarmar,"Kannamwar Nagar No. 2,","Maharashtraatma Phule Road, Near Holy Trinity Church,",Tagore Nagar,Mumbai,400083,25771818,,
Grant Road Medical & General Stores,"#2, Pannalal Terrace,","Grant Road Cross Lane,",Grant Road,Mumbai,400007,23079095,,
Gsbs Medical Trust,"Subhaschandra Bose,","Sion Bandra Link Road,",Dharavi,Mumbai,400017,24081680,,
Gulshan Medical Store,"Gulshan Nagar,","Raghumandir Road,",Jogeshwari West,Mumbai,400102,26781840,,
Gupta Medical and General Stores,"New #18, Shop #16,","Gate No. 7, NCC, Near Savera Theatre, ",Kharodi,Mumbai,400095,28802043,,9869328091
Guru Krupa Medical And General Stores,"Shop #23, ","Camp. 2, Prathiksha Nagar, Near Building No. 15,",Sion,Mumbai,400022,24033025,,
Guru Medical & General Store,"Ganga Building,","Shop #1,",Malad East,Mumbai,400097,28811531,28445399,
Guru Prasad,"#29, Vasant Sagar, Krishna,","Thakur Village,",Kandivali East,Mumbai,400101,28854258,,
Guru Prasad Medical,"Twin Tower,","Shop #17, Near Twin Tower,",Azad Nagar,Mumbai,400053,26339149,,
Guru Prasad Medical & General Store,"Twin Tower,","Jai Prakash Road,",Andheri West,Mumbai,400058,26312088,,
Gurukrupa Medical & General Stores,"Bharathi Nagar, Shanta Jog Marg,","Chembur (West), Near Tilak Nagar Police,",Tilak Nagar,Mumbai,400089,25291456,,
H.J. Pharma,"Patel Building,","Shop #98/B, Keshavji Naik Road,",Chinch Bunder,Mumbai,400089,23703103,,
Habib Ismail Medical Trus,"Habib House,","Chinchbunder Road,",Chinch Bunder,Mumbai,400009,23717832,,
Haffkin Bio-Pharmaticals Corporation Limited,"Achairya Dond Marg,",Parel,,Mumbai,400012,24164350,,
Hajra Medical and General Stores,"New #36, Savera Co-operative Housing Society,","Shop #1/2, Veera Desai Road, Opposite Veera Desai Last Bus Stop,",Andheri West,Mumbai,400058,26732093,,
Hajwane's Medical Centre,"#13-14, Rex Chambers,","Ground Floor, Ballard Estate, Near G.P.O.,",Mumbai G.P.O.,Mumbai,400001,22655233,22655234,
Hakh Medical,"Pitruchaya,","Shop #23/C, Shop #23/C,",Shop #23/C,Mumbai,400050,26421610,,
Hamidiya Dawakhana,"Shop #416,","Pydhonie, Opposite Police Station,",Mandvi,Mumbai,400003,23461376,,
Hamir Medical Stores,"Swami Vivekanand Road,","Near Vegetable Market,",Andheri West,Mumbai,400058,26774770,,
Hansraj Medical,"Trimurti Arcade,","L.B. Shastri Marg,",Ghatkopar West,Mumbai,400086,25155891,,
Hansraj Nayyar Medical,"Shree Laxmi Kriti,","New Link Road,",Azad Nagar,Mumbai,400053,26346258,,
Hansraj Nayyar Medical India,"Shree Laxmi Kirti,","New Link Road,",Azad Nagar,Mumbai,400053,26304581,,
Happy Medical Stores,"#210/3034,","Vikhroli (East),",Tagore Nagar,Mumbai,400083,25743831,,
Hari Chemists,"D. Gupte Road,","Near Sitladevi Temple,",Mahim,Mumbai,400016,24452499,,
Hari Om Enterprises,"Shop #214,","Dr. C.G. Road, Chembur Colony, Near Gandhi Bazar,",R.C.F. Chembur,Mumbai,400074,64522092,,
Hari Om Medical & General Stores,"Sankatha Singh Chawl,","Pipeline, Jawahar Nagar, Khar (E),",Bandra East,Mumbai,400051,26475802,,
Hari Om Medical and General Stores,"Sanjay Nagar Naka, Pandit Lal Tiwari Road,","Near S. V Patel School,",Kandivali West,Mumbai,400067,28077315,,9869206441
Harish Medical and General Stores,"Pitruchaya Building,","Kisan Nagar No. 1, Near Wagle Estate,",Wagle,Mumbai,400604,25821664,25825797,
Harmony Bio Medicals,"New Sonal Link Indu,","Link Road,",Malad West,Mumbai,400064,28820909,,
Harmony Medical & General Stores,"Nand Smruti, Shop #5,","Plot No. 15, Vallabh Baug Lane Extensition, Opp. Kukreja Towers,",Ghatkopar East,Mumbai,400077,25063413,,9820396664
Harsha Chemist and General Stores,"New #4, Pundalik Villa,","Hare Krishna Road, Opposite IIT Market,",I.I.T. Powai,Mumbai,400076,25782209,,
Hasmukh Medical and General Stores,"New #244, Amruta Co Operative Housing Society Limited,","Shop #3, NULL, Near Charkop Market,",Kandivali West,Mumbai,400067,28696274,,
Hasmukh Medical & General Stores,"#18-A-1,","Govandi,",Deonar,Mumbai,400088,25515513,,
Hasmukh Medicals & General Stores,"Shop #12B,","Shanta Jog Marg, Chembur, Near Railway Crossing,",Tilak Nagar,Mumbai,400089,25227247,25280203,
Health Care Chemist,"Belim House,","Kalina Road, Near Lucky Hotel,",Airport,Mumbai,400029,26661369,,
Health Care Medical Store,"Krishna, Vasant Sagar,",Kandivali East,,Mumbai,400101,28864581,,
Health-Care Medical Centre,"Whispering Palms,","Akurli Road,",Kandivali East,Mumbai,400101,28855595,,
Healthcare Chemists,"90 Feet Road, Ghatkopar East,","Opposite Kailash Plaza,",Pant Nagar,Mumbai,400075,25065994,,
Heba Medical Shop,"Noorani Mahal, Shop #6,","Old Mumbai-Pune Road, Near Bhave Hospital, ",Mumbra,Mumbai,400612,25463500,,9820969765
Helix Medical Systems,"Shri Krishna Niwas,","T H Kataria Marg,",Mahim,Mumbai,400016,24210845,,
Hemant Distributors,"Manish Apartment,","Mathuradas Road, Near M.G. Road,",Kandivali West,Mumbai,400067,28074329,28071660,9820194999
Hemant Medical Stores,"Pyarelal Mistry Chawl,","Pyarelal Mistry Chawl,",Goregaon West,Mumbai,400062,28781107,,
Hemraj Mulji & Co.,"Near Prabhadevi Vyam Mandir,",Prabhadevi,,Mumbai,400025,24221836,,
Hi Tech Medical,"Kakad Chambers,","Shop #132, A Besant Road,",Worli,Mumbai,400018,24952692,,
Hill Road Pharmacy,"#55A, Home Lands, Hill Road,","Opposite St. Joseph's School,",Bandra West,Mumbai,400050,26422929,,
Himalaya Medical And General Stores,"Sarita Building, Shop #2,","Plot No B-55, Sector - 23, Navi,",Navi Mumbai,Mumbai,400705,27707656,,
Himansu Medicals,"Sona Chamber,","J Shankar Sheth Road,",Kalbadevi,Mumbai,400002,22094027,,
Hinal Medico Chemist & Druggist,"Shroff Arcade, Shop #1,","Sodawala Lane,",Borivali West,Mumbai,400092,28629657,56979586,9821409086
Hira Chemist,"#111, Kadawani Chamber,","Shop #2, Motishah Lane, Motishah Lane,",Mazgaon,Mumbai,400010,23753515,23713244,
Hira Chemist And Druggist,"Safal Ganga, Shop #9,","R.C. Marg, Mahul Road, Chembur, Opposite Collectors Colony,",R.C.F. Chembur,Mumbai,400074,25548999,32503434,9324504430
Hira Chemist And Druggist,"Hira Compound, Shop #2,","Chembur Colony, Opposite Navjivan Society,",R.C.F. Chembur,Mumbai,400074,25270213,25288639,9323218191
Hira Medical & General Stores,"Mazgaon Road,",Mazgaon,,Mumbai,400010,23712124,,
Hira Medical and General Stores,"Masalawala Apartment,","Mamletdar Wadi Extension Road, Near Kendriya Vidyalaya,",Malad West,Mumbai,400064,28825143,,
Hiran Chemist,"#3/4, Shop #123/1/1,","N.G. Acharya Marg, Subhash Nagar,",Chembur,Mumbai,400071,25211199,65065670,9833411472
Hirji A. Mehta,"#144,","C.P. Tank Road, Opposite Madhav Baug,",Girgaon,Mumbai,400004,23823558,,
Hollywood Medical Store,"#4, B.M.C. Market, Ground Floor,","B.M.C. Market, Road No. 1, Near Co-Operation Bank ATM,",Khar West,Mumbai,400052,65246517,,
Holy Name Medical Centre,"Holy Name School,","Charitable Center,",Mumbai G.P.O.,Mumbai,400001,22885339,,
Home Chemist,"Duban Building,","Shop #6, Baikele Street, Opposite Lakpathi Hotel,",Jacob Circle,Mumbai,400011,23070613,,
Homeopharma,"#5, Jain Chamber,","S.V. Road, Bandra (West),",Bandra West,Mumbai,400050,26436932,26550671,
Hon Sec Asso Of Medical,"Consul,","Old Police Lane Road,",Andheri East,Mumbai,400069,26821109,,
Honesty Medico,"#29, Mankame Building,","Shop #4, Sitladevi Temple Road,",Mahim,Mumbai,400016,24452023,,
Hospital Chemist,"#3, Mustaqali Usman,","Rakhangi Mahal, A.D. Marg,",Parel,Mumbai,400012,24134834,,
Hospital Chemists,"Bhiwandiwala House,","August Kranti Marg,",A.K. Marg,Mumbai,400036,23825599,,
Hospital Chemists,"Sir H.N. Hospital Building,","Raja Ram Mohan Roy Road, Near Prarthana Samaj,",Khetwadi,Mumbai,400004,23809110,23869219,
Huwa Shafi (H.S.) Medico,"Pragati Building, Shop #1,","S.C. Marg, Noor Baugh, Dongri,",Chinch Bunder,Mumbai,400009,23749035,,
Ideal Medical & General Stores,"#5, Jaiker Smruti Building,","Aarey Road,",Goregaon East,Mumbai,400063,28722857,,
Ideal Medical Stores,"Andheri,",Jogeshwari East,,Mumbai,400060,28372262,,
Infant Jesus Medical and General Stores,"New #6, Gemini Apartment,","Marve Road, Near Jankalyan Nagar,",Kharodi,Mumbai,400095,28620837,56909171,
Innovative,"#133, Gopal Niwas,","Shop #14, 1st Floor, Princess Street,",Kalbadevi,Mumbai,400002,22060076,22081651,9821223656
Innovative Homoeopathic Pharmacy,"New #44, Jai Jawan Building,","Sector No. 17, Near Apna Bazaar,",Vashi,Mumbai,400703,27894474,,
International Chemist,"#264, Hormuzd Mansion,","Tardeo Road,",Grant Road,Mumbai,400007,23869966,,
Iqra Medical & General Store,"#419, Aman Chowk,","NULL, Near Infant Jesus Church,",Jogeshwari East,Mumbai,400060,28219356,,9892105362
Isharo Medical & General Stores,"#16, Prem Nivas, Shop #1, 2,","Laxmi Colony, Mahul Road,",R.C.F. Chembur,Mumbai,400074,25545248,25544401,
Ishita Pharma,"Parekh Apartments, Shop #6,","Raheja Township, Opposite SBI Colony,",Malad East,Mumbai,400097,28775826,25202132,
J P Medical Centre,"J P House,","M Vasanji Road,",Saki Naka,Mumbai,400072,28504393,,
J. Parekh & Company,"#139, Gopal Niwas,","Shamaldas Gandhi Marg, Near Princess Street,",Kalbadevi,Mumbai,400002,56334434,56334435,
J.B. Chemicals & Pharmaceuticals Limited,"Neelam Centre, 4th Floor,","B-Wing, Hind Cycle Road, Worli,",Mulund West,Mumbai,400080,24930918,,9820245208
J.K. Agencies Akhil Marketing,"#173,","T.H. Kataria Marg,",Mahim,Mumbai,400016,24303985,24374987,9820864536
J.R. Medical Centre,"Summer Villa Co-operative Housing Society,","Shop #10, 7th Road,",Santa Cruz East,Mumbai,400055,26131896,,
Jadavji Lallubhai & Company,"P.O. Box 2034,","Kalbadevi Road,",Kalbadevi,Mumbai,400002,22409396,22401329,
Jae Pharmacy Private Limited,"#214, Kamal Kunj,","Swami Vivekanand Road, Near Triveni Shoppers' Stop,",Andheri West,Mumbai,400058,26256739,26256736,
Jaffer Suleman M Trust Medical Centre,"J S Trust House,","M N Patankar Marg,",Kurla West,Mumbai,400070,26506604,,
Jagdamba Medical & General Stores,"Gharkool Road,",Kandivali West,,Mumbai,400067,28681711,,
Jagir Medical & General Stores,"#8, Laxmi Building,","N.M. Joshi Marg, Byculla West,",Jijamata Udyan,Mumbai,400027,23091590,,
Jagirdar Medical & General Store,"#1/U/9,","Shivaji Nagar,",Govandi,Mumbai,400046,25512708,,
Jai - Ambe Agencies,"#11, SS Yadav Chawl,","Ground Floor, SS Yadav Chawl, Mahakali Caves Road, Opposite Texolla Society,",Chakala,Mumbai,400093,28215494,,
Jai Bhawani General Stores,"#4/5, Teen Bungalow,","Nirmal Nagar, Jay Prakash Road, Near Police Chowki,",Bandra East,Mumbai,400051,26479806,26479806,
Jai Bhawani Medical And General Stores,"#18/948, M.H.B. Colony,","Sardar Nagar No. 1, Sion Koliwada,",Sion,Mumbai,400022,24074807,,
Jai Chemist,"#1, Kapoor Building,","Hari Shivam, J.P. Road, Opposite Ghaistaram Halwai,",Andheri West,Mumbai,400058,65230955,,
Jai Chemist,"Daulat Sagar Co-operative Society,","Nehru Road,",Santa Cruz East,Mumbai,400055,26110921,,
Jai Ganesh Medical General Store,"New #12, Mushkurahat Building, Shop #2,","I.M.P. Road, Near Bharat Overseas Bank,",Kandivali West,Mumbai,400067,28670222,28696575,
Jai Hind Medical Store,"Shop #5,","H.D. Municipal Market, Near New Bata Shop,",Ghatkopar West,Mumbai,400086,25135127,,
Jai Jalaram Medical,"Geeta Sadan, Shop #7,","Irani Wadi Road,",Kandivali West,Mumbai,400067,28629029,28659063,9820467120
Jai Jitendra Chemist,"Vimlachal Building, Shop #7,","Seth Motisha Lane, Love Lane, Near Rajeshri Nursing Home,",Jijamata Udyan,Mumbai,400027,23770631,,9820273129
Jai Maharashtra Medical Stores,"Station Road,",Nehru Nagar,,Mumbai,400024,25227690,,
Jai Mata Di Medical And General Store,"Gulmohar Appartment,","Marol Road,",J.B. Nagar,Mumbai,400059,29202910,,
Jain Chemist & General Stores,"#124/26, Hasanaly House,","Shop #1/2, Bora Bazar Street, Fort,",Mumbai G.P.O.,Mumbai,400001,22615993,22636891,
Jain Chemists,"Ashish Mahal,","Golibar Road, Near Santacruz Railway Station,",Santa Cruz East,Mumbai,400055,26132834,,
Jain Hospital & Medical Centre,"Unnat Nagar,","M Gandhi Marg,",Goregaon West,Mumbai,400062,28765966,,
Jain Medical & General Stores,"Janata Bazar,","Sector 13 Road,",Panvel,Mumbai,410206,27469363,,
Jain Medical and General Store,"Krishna Dham Building, Shop #3,","Pleasant Park, Near Suvarna Hospital,",Mira Road,Mumbai,401107,55778254,,9867851039
